"PERIOD","Target","Source","PRODUCT","FLOW","STAT_REGIME","INDICATORS","Value","Flag and Footnotes"
"1999-01-01","Italien","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","69.7",""
"1999-01-01","Italien","China","Total","EINFUHR","NORMAL","QUANTITY_TON","261357.4",""
"1999-01-01","Italien","China","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","69.9",""
"1999-01-01","Italien","China","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","1.0",""
"1999-01-01","Italien","China","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","1.0",""
"1999-01-01","Italien","Simbabwe","Total","EINFUHR","NORMAL","QUANTITY_TON","3682.0",""
"1999-01-01","Italien","Brasilien","Total","EINFUHR","NORMAL","QUANTITY_TON","1227012.5",""
"1999-01-01","Italien","Brasilien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","10.4",""
"1999-01-01","Italien","Chile","Total","EINFUHR","NORMAL","QUANTITY_TON","57826.6",""
"1999-01-01","Italien","Argentinien","Total","EINFUHR","NORMAL","QUANTITY_TON","160493.1",""
"1999-01-01","Italien","Argentinien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","1.6",""
"1999-01-01","Italien","Australien","Total","EINFUHR","NORMAL","QUANTITY_TON","483938.9",""
"1999-01-01","Ver.Koenigr.","Portugal","Total","EINFUHR","NORMAL","QUANTITY_TON","77801.8",""
"1999-01-01","Ver.Koenigr.","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","NORMAL","QUANTITY_TON","970977.4",""
"1999-01-01","Ver.Koenigr.","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","3695.2",""
"1999-01-01","Ver.Koenigr.","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","42.0",""
"1999-01-01","Ver.Koenigr.","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","42.0",""
"1999-01-01","Ver.Koenigr.","China","Total","EINFUHR","NORMAL","QUANTITY_TON","180629.9",""
"1999-01-01","Ver.Koenigr.","China","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","39.4",""
"1999-01-01","Ver.Koenigr.","Simbabwe","Total","EINFUHR","NORMAL","QUANTITY_TON","6860.3",""
"1999-01-01","Ver.Koenigr.","Brasilien","Total","EINFUHR","NORMAL","QUANTITY_TON","196263.8",""
"1999-01-01","Ver.Koenigr.","Chile","Total","EINFUHR","NORMAL","QUANTITY_TON","30979.7",""
"1999-01-01","Ver.Koenigr.","Argentinien","Total","EINFUHR","NORMAL","QUANTITY_TON","69038.8",""
"1999-01-01","Ver.Koenigr.","Australien","Total","EINFUHR","NORMAL","QUANTITY_TON","1002807.5",""
"1999-01-01","Ver.Koenigr.","Australien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","0.0",""
"1999-01-01","Irland","Portugal","Total","EINFUHR","NORMAL","QUANTITY_TON","1047.4",""
"1999-01-01","Irland","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","NORMAL","QUANTITY_TON","287185.2",""
"1999-01-01","Irland","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","0.0",""
"1999-01-01","Irland","China","Total","EINFUHR","NORMAL","QUANTITY_TON","4243.8",""
"1999-01-01","Irland","China","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","13.5",""
"1999-01-01","Irland","Simbabwe","Total","EINFUHR","NORMAL","QUANTITY_TON","109.5",""
"1999-01-01","Irland","Brasilien","Total","EINFUHR","NORMAL","QUANTITY_TON","5087.2",""
"1999-01-01","Irland","Chile","Total","EINFUHR","NORMAL","QUANTITY_TON","0.2",""
"1999-01-01","Irland","Argentinien","Total","EINFUHR","NORMAL","QUANTITY_TON","102.2",""
"1999-01-01","Irland","Australien","Total","EINFUHR","NORMAL","QUANTITY_TON","357.6",""
"1999-01-01","Daenemark","Portugal","Total","EINFUHR","NORMAL","QUANTITY_TON","5955.7",""
"1999-01-01","Daenemark","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","NORMAL","QUANTITY_TON","46961.5",""
"1999-01-01","Daenemark","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","7.0",""
"1999-01-01","Daenemark","China","Total","EINFUHR","NORMAL","QUANTITY_TON","16277.2",""
"1999-01-01","Daenemark","China","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","31.6",""
"1999-01-01","Daenemark","Simbabwe","Total","EINFUHR","NORMAL","QUANTITY_TON","262.2",""
"1999-01-01","Daenemark","Brasilien","Total","EINFUHR","NORMAL","QUANTITY_TON","2861.5",""
"1999-01-01","Daenemark","Chile","Total","EINFUHR","NORMAL","QUANTITY_TON","969.4",""
"1999-01-01","Daenemark","Argentinien","Total","EINFUHR","NORMAL","QUANTITY_TON","116472.1",""
"1999-01-01","Daenemark","Australien","Total","EINFUHR","NORMAL","QUANTITY_TON","1333.1",""
"1999-01-01","Griechenland","Portugal","Total","EINFUHR","NORMAL","QUANTITY_TON","5078.6",""
"1999-01-01","Griechenland","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","NORMAL","QUANTITY_TON","42281.6",""
"1999-01-01","Griechenland","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","0.0",""
"1999-01-01","Griechenland","China","Total","EINFUHR","NORMAL","QUANTITY_TON","7518.0",""
"1999-01-01","Griechenland","Simbabwe","Total","EINFUHR","NORMAL","QUANTITY_TON","721.6",""
"1999-01-01","Griechenland","Brasilien","Total","EINFUHR","NORMAL","QUANTITY_TON","3055.5",""
"1999-01-01","Griechenland","Chile","Total","EINFUHR","NORMAL","QUANTITY_TON","5486.5",""
"1999-01-01","Griechenland","Argentinien","Total","EINFUHR","NORMAL","QUANTITY_TON","17847.4",""
"1999-01-01","Griechenland","Australien","Total","EINFUHR","NORMAL","QUANTITY_TON","1925.3",""
"1999-01-01","Portugal","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","NORMAL","QUANTITY_TON","199954.0",""
"1999-01-01","Portugal","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","3.4",""
"1999-01-01","Portugal","China","Total","EINFUHR","NORMAL","QUANTITY_TON","6137.0",""
"1999-01-01","Portugal","Simbabwe","Total","EINFUHR","NORMAL","QUANTITY_TON","586.7",""
"1999-01-01","Portugal","Brasilien","Total","EINFUHR","NORMAL","QUANTITY_TON","144314.3",""
"1999-01-01","Portugal","Chile","Total","EINFUHR","NORMAL","QUANTITY_TON","1884.3",""
"1999-01-01","Portugal","Argentinien","Total","EINFUHR","NORMAL","QUANTITY_TON","79530.8",""
"1999-01-01","Portugal","Australien","Total","EINFUHR","NORMAL","QUANTITY_TON","134376.3",""
"1999-01-01","Spanien","Portugal","Total","EINFUHR","NORMAL","QUANTITY_TON","333631.8",""
"1999-01-01","Spanien","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","NORMAL","QUANTITY_TON","964433.3",""
"1999-01-01","Spanien","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","119.2",""
"1999-01-01","Spanien","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","17.0",""
"1999-01-01","Spanien","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","17.0",""
"1999-01-01","Spanien","China","Total","EINFUHR","NORMAL","QUANTITY_TON","99666.0",""
"1999-01-01","Spanien","China","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","0.0",""
"1999-01-01","Spanien","Simbabwe","Total","EINFUHR","NORMAL","QUANTITY_TON","10798.3",""
"1999-01-01","Spanien","Brasilien","Total","EINFUHR","NORMAL","QUANTITY_TON","602456.9",""
"1999-01-01","Spanien","Chile","Total","EINFUHR","NORMAL","QUANTITY_TON","23903.8",""
"1999-01-01","Spanien","Argentinien","Total","EINFUHR","NORMAL","QUANTITY_TON","193080.0",""
"1999-01-01","Spanien","Argentinien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","0.1",""
"1999-01-01","Spanien","Australien","Total","EINFUHR","NORMAL","QUANTITY_TON","81018.5",""
"1999-01-01","Spanien","Australien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","0.0",""
"1999-01-01","Belgien","Portugal","Total","EINFUHR","NORMAL","QUANTITY_TON","22910.4",""
"1999-01-01","Belgien","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","NORMAL","QUANTITY_TON","525643.3",""
"1999-01-01","Belgien","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","3412.2",""
"1999-01-01","Belgien","China","Total","EINFUHR","NORMAL","QUANTITY_TON","69359.3",""
"1999-01-01","Belgien","China","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","24.5",""
"1999-01-01","Belgien","China","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","28.0",""
"1999-01-01","Belgien","China","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","28.0",""
"1999-01-01","Belgien","Simbabwe","Total","EINFUHR","NORMAL","QUANTITY_TON","1048.0",""
"1999-01-01","Belgien","Brasilien","Total","EINFUHR","NORMAL","QUANTITY_TON","560284.1",""
"1999-01-01","Belgien","Chile","Total","EINFUHR","NORMAL","QUANTITY_TON","9412.7",""
"1999-01-01","Belgien","Argentinien","Total","EINFUHR","NORMAL","QUANTITY_TON","78130.4",""
"1999-01-01","Belgien","Argentinien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","0.3",""
"1999-01-01","Belgien","Australien","Total","EINFUHR","NORMAL","QUANTITY_TON","202551.2",""
"1999-01-01","Luxemburg","Portugal","Total","EINFUHR","NORMAL","QUANTITY_TON","980.0",""
"1999-01-01","Luxemburg","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","NORMAL","QUANTITY_TON","3040.7",""
"1999-01-01","Luxemburg","China","Total","EINFUHR","NORMAL","QUANTITY_TON","343.0",""
"1999-01-01","Luxemburg","Brasilien","Total","EINFUHR","NORMAL","QUANTITY_TON","106.5",""
"1999-01-01","Luxemburg","Chile","Total","EINFUHR","NORMAL","QUANTITY_TON","106.6",""
"1999-01-01","Luxemburg","Argentinien","Total","EINFUHR","NORMAL","QUANTITY_TON","8.7",""
"1999-01-01","Luxemburg","Australien","Total","EINFUHR","NORMAL","QUANTITY_TON","0.4",""
"1999-01-01","Schweden","Portugal","Total","EINFUHR","NORMAL","QUANTITY_TON","10337.2",""
"1999-01-01","Schweden","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","NORMAL","QUANTITY_TON","59733.0",""
"1999-01-01","Schweden","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","15.4",""
"1999-01-01","Schweden","China","Total","EINFUHR","NORMAL","QUANTITY_TON","65339.7",""
"1999-01-01","Schweden","China","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","1.8",""
"1999-01-01","Schweden","Simbabwe","Total","EINFUHR","NORMAL","QUANTITY_TON","1038.1",""
"1999-01-01","Schweden","Brasilien","Total","EINFUHR","NORMAL","QUANTITY_TON","41110.2",""
"1999-01-01","Schweden","Chile","Total","EINFUHR","NORMAL","QUANTITY_TON","16126.6",""
"1999-01-01","Schweden","Argentinien","Total","EINFUHR","NORMAL","QUANTITY_TON","499.2",""
"1999-01-01","Schweden","Australien","Total","EINFUHR","NORMAL","QUANTITY_TON","924.4",""
"1999-01-01","Schweden","Australien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","0.0",""
"1999-01-01","Finnland","Portugal","Total","EINFUHR","NORMAL","QUANTITY_TON","23759.5",""
"1999-01-01","Finnland","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","NORMAL","QUANTITY_TON","63825.0",""
"1999-01-01","Finnland","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","0.2",""
"1999-01-01","Finnland","China","Total","EINFUHR","NORMAL","QUANTITY_TON","7914.2",""
"1999-01-01","Finnland","China","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","17.4",""
"1999-01-01","Finnland","Simbabwe","Total","EINFUHR","NORMAL","QUANTITY_TON","77.2",""
"1999-01-01","Finnland","Brasilien","Total","EINFUHR","NORMAL","QUANTITY_TON","9243.3",""
"1999-01-01","Finnland","Chile","Total","EINFUHR","NORMAL","QUANTITY_TON","1440.9",""
"1999-01-01","Finnland","Argentinien","Total","EINFUHR","NORMAL","QUANTITY_TON","16603.6",""
"1999-01-01","Finnland","Australien","Total","EINFUHR","NORMAL","QUANTITY_TON","34928.2",""
"1999-01-01","Oesterreich","Portugal","Total","EINFUHR","NORMAL","QUANTITY_TON","6322.4",""
"1999-01-01","Oesterreich","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","NORMAL","QUANTITY_TON","5354.9",""
"1999-01-01","Oesterreich","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","0.0",""
"1999-01-01","Oesterreich","China","Total","EINFUHR","NORMAL","QUANTITY_TON","8397.0",""
"1999-01-01","Oesterreich","Simbabwe","Total","EINFUHR","NORMAL","QUANTITY_TON","434.8",""
"1999-01-01","Oesterreich","Brasilien","Total","EINFUHR","NORMAL","QUANTITY_TON","46415.1",""
"1999-01-01","Oesterreich","Chile","Total","EINFUHR","NORMAL","QUANTITY_TON","303.7",""
"1999-01-01","Oesterreich","Argentinien","Total","EINFUHR","NORMAL","QUANTITY_TON","922.8",""
"1999-01-01","Oesterreich","Australien","Total","EINFUHR","NORMAL","QUANTITY_TON","1592.5",""
"1999-02-01","Frankreich","Portugal","Total","EINFUHR","NORMAL","QUANTITY_TON","88049.0",""
"1999-02-01","Frankreich","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","NORMAL","QUANTITY_TON","566953.2",""
"1999-02-01","Frankreich","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","966.8",""
"1999-02-01","Frankreich","China","Total","EINFUHR","NORMAL","QUANTITY_TON","175769.7",""
"1999-02-01","Frankreich","China","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","107.1",""
"1999-02-01","Frankreich","Simbabwe","Total","EINFUHR","NORMAL","QUANTITY_TON","3561.3",""
"1999-02-01","Frankreich","Brasilien","Total","EINFUHR","NORMAL","QUANTITY_TON","617807.8",""
"1999-02-01","Frankreich","Brasilien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","1.0",""
"1999-02-01","Frankreich","Chile","Total","EINFUHR","NORMAL","QUANTITY_TON","35183.5",""
"1999-02-01","Frankreich","Argentinien","Total","EINFUHR","NORMAL","QUANTITY_TON","50995.2",""
"1999-02-01","Frankreich","Australien","Total","EINFUHR","NORMAL","QUANTITY_TON","777249.4",""
"1999-02-01","Frankreich","Australien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","0.0",""
"1999-02-01","Niederlande","Portugal","Total","EINFUHR","NORMAL","QUANTITY_TON","36669.8",""
"1999-02-01","Niederlande","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","NORMAL","QUANTITY_TON","1260123.2",""
"1999-02-01","Niederlande","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","11.6",""
"1999-02-01","Niederlande","China","Total","EINFUHR","NORMAL","QUANTITY_TON","156895.3",""
"1999-02-01","Niederlande","China","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","2.3",""
"1999-02-01","Niederlande","China","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","8.3",""
"1999-02-01","Niederlande","China","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","8.3",""
"1999-02-01","Niederlande","Simbabwe","Total","EINFUHR","NORMAL","QUANTITY_TON","3067.6",""
"1999-02-01","Niederlande","Brasilien","Total","EINFUHR","NORMAL","QUANTITY_TON","418521.8",""
"1999-02-01","Niederlande","Chile","Total","EINFUHR","NORMAL","QUANTITY_TON","51811.7",""
"1999-02-01","Niederlande","Argentinien","Total","EINFUHR","NORMAL","QUANTITY_TON","118010.4",""
"1999-02-01","Niederlande","Australien","Total","EINFUHR","NORMAL","QUANTITY_TON","489125.7",""
"1999-02-01","Niederlande","Australien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","0.0",""
"1999-02-01","Deutschland","Portugal","Total","EINFUHR","NORMAL","QUANTITY_TON","86773.1",""
"1999-02-01","Deutschland","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","NORMAL","QUANTITY_TON","655406.1",""
"1999-02-01","Deutschland","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","7321.3",""
"1999-02-01","Deutschland","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","80.7",""
"1999-02-01","Deutschland","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","80.7",""
"1999-02-01","Deutschland","China","Total","EINFUHR","NORMAL","QUANTITY_TON","446601.3",""
"1999-02-01","Deutschland","China","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","547.7",""
"1999-02-01","Deutschland","China","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","8.3",""
"1999-02-01","Deutschland","China","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","8.3",""
"1999-02-01","Deutschland","Simbabwe","Total","EINFUHR","NORMAL","QUANTITY_TON","3409.0",""
"1999-02-01","Deutschland","Brasilien","Total","EINFUHR","NORMAL","QUANTITY_TON","996065.9",""
"1999-02-01","Deutschland","Brasilien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","10.6",""
"1999-02-01","Deutschland","Chile","Total","EINFUHR","NORMAL","QUANTITY_TON","93795.2",""
"1999-02-01","Deutschland","Argentinien","Total","EINFUHR","NORMAL","QUANTITY_TON","82550.6",""
"1999-02-01","Deutschland","Argentinien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","5.8",""
"1999-02-01","Deutschland","Australien","Total","EINFUHR","NORMAL","QUANTITY_TON","359083.1",""
"1999-02-01","Deutschland","Australien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","0.0",""
"1999-02-01","Italien","Portugal","Total","EINFUHR","NORMAL","QUANTITY_TON","41810.5",""
"1999-02-01","Italien","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","NORMAL","QUANTITY_TON","676527.4",""
"1999-02-01","Italien","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","74.6",""
"1999-02-01","Italien","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","17.4",""
"1999-02-01","Italien","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","17.4",""
"1999-02-01","Italien","China","Total","EINFUHR","NORMAL","QUANTITY_TON","194793.3",""
"1999-02-01","Italien","China","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","121.1",""
"1999-02-01","Italien","Simbabwe","Total","EINFUHR","NORMAL","QUANTITY_TON","1860.2",""
"1999-02-01","Italien","Brasilien","Total","EINFUHR","NORMAL","QUANTITY_TON","511163.8",""
"1999-02-01","Italien","Brasilien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","24.1",""
"1999-02-01","Italien","Chile","Total","EINFUHR","NORMAL","QUANTITY_TON","61771.9",""
"1999-02-01","Italien","Chile","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","0.1",""
"1999-02-01","Italien","Argentinien","Total","EINFUHR","NORMAL","QUANTITY_TON","181433.6",""
"1999-02-01","Italien","Argentinien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","23.0",""
"1999-02-01","Italien","Australien","Total","EINFUHR","NORMAL","QUANTITY_TON","581224.5",""
