period,continent,country,source_continent,source_country,product_type,product_name,quantity,company,company_country
01.01.2007,europe,italy,asia,russia,mineral,cobalt,153.3543644,russia_mining_network,russia
01.01.2007,europe,italy,america,brasil,mineral,silicon,250.5164723,glencore,uk
01.01.2007,europe,uk,asia,china,mineral,graphite,2008.451197,byd_group,china
01.01.2007,europe,poland,asia,russia,mineral,cobalt,593.7472774,russia_mining_network,russia
01.01.2007,europe,poland,europe,poland,mineral,lithium,4406.586014,poland_group,poland
01.01.2007,europe,spain,africa,drc,mineral,cobalt,394.2195506,,
01.01.2007,europe,uk,america,chile,mineral,lithium,6536.878101,taiyuan_mining_group,china
01.01.2007,europe,spain,asia,russia,mineral,cobalt,3.925025969,russia_mining_network,russia
01.01.2007,europe,uk,asia,china,mineral,lithium,4073.500727,byd_group,china
01.01.2007,europe,spain,america,brasil,mineral,lithium,6707.357338,glencore,uk
01.01.2007,europe,switzerland,asia,russia,mineral,cobalt,343.9408229,glencore,uk
01.01.2007,europe,uk,america,usa,mineral,cobalt,174.1414723,newmont_goldcorp,usa
01.01.2007,europe,uk,asia,russia,mineral,cobalt,76.71548783,russia_mining_network,russia
01.01.2007,asia,china,asia,china,mineral,lithium,935.5996571,taiyuan_mining_group,china
01.01.2007,asia,china,africa,drc,mineral,nickel,9091.91967,byd_group,china
01.01.2007,asia,china,africa,drc,mineral,graphite,429.553637,taiyuan_mining_group,china
01.01.2007,asia,china,america,argentina,mineral,lithium,2833.374587,newmont_goldcorp,usa
01.01.2007,asia,china,oceany,australia,mineral,lithium,2395.298603,byd_group,china
01.01.2007,asia,china,africa,drc,mineral,cobalt,82.48677701,,
01.01.2007,europe,belgium,asia,japan,manufactured,lithium_battery,1.402783696,sanyo,japan
01.01.2007,america,usa,asia,japan,manufactured,nickel_battery,11.52499868,sanyo,japan
01.01.2007,europe,belgium,asia,south_korea,manufactured,lithium_battery,7.921410213,kokam_co,south_korea
01.01.2007,america,usa,asia,south_korea,manufactured,nickel_battery,155.7947441,kokam_co,south_korea
01.01.2007,america,usa,europe,uk,manufactured,lithium_battery,40.07638417,glencore,uk
01.01.2007,america,usa,america,usa,manufactured,lithium_battery,12.91033045,taiyuan_mining_group,china
01.01.2007,europe,germany,europe,finland,mineral,nickel,2120.942405,german_mining_network,germany
01.01.2007,europe,france,europe,finland,mineral,nickel,55.45353035,finland_national_group,finland
01.01.2007,europe,spain,europe,finland,mineral,nickel,3877.589857,finland_national_group,finland
01.01.2007,europe,poland,europe,finland,mineral,nickel,6276.481642,poland_group,poland
01.01.2007,europe,italy,europe,finland,mineral,nickel,139.0017603,glencore,uk
01.01.2007,europe,finland,europe,finland,mineral,nickel,328.6112485,finland_national_group,finland
01.01.2007,europe,uk,europe,finland,mineral,nickel,668.5188785,glencore,uk
01.01.2007,europe,switzerland,europe,finland,mineral,nickel,1209.391354,swiss_group,switzerland
01.06.2007,europe,belgium,asia,china,mineral,cobalt,181.1190221,byd_group,china
01.06.2007,europe,belgium,africa,drc,mineral,nickel,7462.683005,areva,france
01.06.2007,europe,belgium,america,usa,mineral,silicon,2166.256275,newmont_goldcorp,usa
01.06.2007,europe,belgium,asia,russia,mineral,nickel,81.41244423,newmont_goldcorp,usa
01.06.2007,europe,belgium,america,chile,mineral,lithium,3225.184236,byd_group,china
01.06.2007,europe,italy,africa,drc,mineral,cobalt,93.28183227,areva,france
01.06.2007,europe,belgium,asia,china,manufactured,lithium_battery,130.1504758,byd_group,china
01.06.2007,europe,germany,asia,china,manufactured,lithium_battery,311.2070368,byd_group,china
01.06.2007,america,usa,asia,china,manufactured,lithium_battery,302.8815646,byd_group,china
01.06.2007,europe,france,america,chile,mineral,lithium,4540.616959,chile_nat_group,chile
01.06.2007,europe,poland,america,chile,mineral,lithium,7892.61453,chile_nat_group,chile
01.06.2007,asia,china,america,chile,mineral,lithium,1290.991335,chile_nat_group,chile
01.06.2007,europe,france,asia,china,mineral,nickel,12004.68824,byd_group,china
01.06.2007,europe,france,europe,france,manufactured,lithium_battery,7.736398987,french_mining_group,france
01.06.2007,europe,france,asia,russia,mineral,cobalt,532.259814,french_mining_group,france
01.06.2007,europe,france,america,brasil,mineral,cobalt,22.70921426,french_mining_group,france
01.06.2007,europe,belgium,europe,germany,manufactured,lithium_battery,407.1885415,german_mining_network,germany
01.06.2007,europe,france,europe,germany,manufactured,lithium_battery,53.63763688,german_mining_network,germany
01.06.2007,europe,germany,africa,drc,mineral,cobalt,669.0009985,german_mining_network,germany
01.06.2007,america,usa,europe,germany,manufactured,nickel_battery,121.7940178,german_mining_network,germany
01.06.2007,europe,germany,africa,south_africa,mineral,manganese,10.6848761,glencore,uk
01.06.2007,europe,germany,asia,china,mineral,cobalt,95.12229427,byd_group,china
01.06.2007,europe,switzerland,africa,south_africa,mineral,manganese,220.536175,glencore,uk
01.06.2007,europe,uk,africa,drc,mineral,nickel,4814.37781,glencore,uk
01.06.2007,europe,uk,africa,south_africa,mineral,manganese,267.8847401,glencore,uk
01.06.2007,europe,germany,america,chile,mineral,lithium,1351.397412,byd_group,china
01.06.2007,asia,china,africa,south_africa,mineral,manganese,217.8794698,glencore,uk
01.06.2007,europe,france,america,usa,mineral,silicon,37.06848693,newmont_goldcorp,usa
01.06.2007,europe,italy,asia,china,mineral,cobalt,255.1086578,taiyuan_mining_group,china
01.06.2007,europe,germany,america,usa,mineral,silicon,26.20346974,newmont_goldcorp,usa
01.06.2007,europe,germany,america,brasil,mineral,lithium,3802.205781,newmont_goldcorp,usa
01.06.2007,europe,poland,america,usa,mineral,silicon,79.22345143,newmont_goldcorp,usa
01.06.2007,europe,italy,america,chile,mineral,lithium,5242.43336,byd_group,china
01.06.2007,europe,spain,america,usa,mineral,cobalt,253.9593511,newmont_goldcorp,usa
01.06.2007,asia,china,america,usa,mineral,silicon,44.35308165,newmont_goldcorp,usa
01.06.2007,europe,poland,asia,china,mineral,graphite,344.742071,byd_group,china
01.06.2007,europe,poland,africa,drc,mineral,cobalt,128.1869812,taiyuan_mining_group,china
01.06.2007,europe,belgium,europe,france,manufactured,lithium_battery,17.7032804,sibelco,belgium
01.06.2007,europe,belgium,america,brasil,mineral,cobalt,3.993684662,sibelco,belgium
01.06.2007,europe,belgium,africa,zimbabwe,mineral,lithium,4154.199445,south_africa_min_group,south_africa
01.06.2007,europe,france,africa,drc,mineral,graphite,70.78251429,south_africa_min_group,south_africa
01.06.2007,europe,france,africa,south_africa,mineral,manganese,92.12940935,south_africa_min_group,south_africa
01.06.2007,europe,spain,asia,china,mineral,graphite,30.09318115,byd_group,china
01.06.2007,europe,italy,africa,south_africa,mineral,silicon,161.4677968,south_africa_min_group,south_africa
01.06.2007,europe,italy,africa,south_africa,mineral,manganese,28.1515845,south_africa_min_group,south_africa
01.06.2007,europe,poland,africa,south_africa,mineral,manganese,101.604796,south_africa_min_group,south_africa
01.06.2007,europe,spain,america,chile,mineral,lithium,3353.682399,byd_group,china
01.06.2007,europe,switzerland,africa,drc,mineral,graphite,242.0769484,swiss_group,switzerland
01.06.2007,europe,switzerland,america,usa,mineral,cobalt,70.63815919,swiss_group,switzerland
01.06.2007,europe,switzerland,asia,china,mineral,graphite,915.4405327,taiyuan_mining_group,china
01.06.2007,europe,switzerland,america,chile,mineral,lithium,3803.634555,swiss_group,switzerland
01.06.2007,europe,switzerland,america,brasil,mineral,silicon,37.3203343,swiss_group,switzerland
01.06.2007,europe,spain,africa,zimbabwe,mineral,lithium,11.91101157,zimbabwe_group,zimbabwe
01.06.2007,europe,germany,asia,russia,mineral,cobalt,132.6363017,russia_mining_network,russia
01.06.2007,europe,italy,asia,russia,mineral,cobalt,301.6239301,russia_mining_network,russia
01.06.2007,europe,italy,america,brasil,mineral,silicon,81.28524916,glencore,uk
01.06.2007,europe,uk,asia,china,mineral,graphite,2316.486834,byd_group,china
01.06.2007,europe,poland,asia,russia,mineral,cobalt,466.2127948,russia_mining_network,russia
01.06.2007,europe,poland,europe,poland,mineral,lithium,3481.866132,poland_group,poland
01.06.2007,europe,spain,africa,drc,mineral,cobalt,2.089652257,,
01.06.2007,europe,uk,america,chile,mineral,lithium,232.1896699,taiyuan_mining_group,china
01.06.2007,europe,spain,asia,russia,mineral,cobalt,84.14514241,russia_mining_network,russia
01.06.2007,europe,uk,asia,china,mineral,lithium,13429.60512,byd_group,china
01.06.2007,europe,spain,america,brasil,mineral,lithium,18818.05121,glencore,uk
01.06.2007,europe,switzerland,asia,russia,mineral,cobalt,103.3912558,glencore,uk
01.06.2007,europe,uk,america,usa,mineral,cobalt,213.6909561,newmont_goldcorp,usa
01.06.2007,europe,uk,asia,russia,mineral,cobalt,331.5853679,russia_mining_network,russia
01.06.2007,asia,china,asia,china,mineral,lithium,4196.479866,taiyuan_mining_group,china
01.06.2007,asia,china,africa,drc,mineral,nickel,374.9462697,byd_group,china
01.06.2007,asia,china,africa,drc,mineral,graphite,899.4016721,taiyuan_mining_group,china
01.06.2007,asia,china,america,argentina,mineral,lithium,1865.702688,newmont_goldcorp,usa
01.06.2007,asia,china,oceany,australia,mineral,lithium,1818.949323,byd_group,china
01.06.2007,asia,china,africa,drc,mineral,cobalt,54.83688213,,
01.06.2007,europe,belgium,asia,japan,manufactured,lithium_battery,3.684151886,sanyo,japan
01.06.2007,america,usa,asia,japan,manufactured,nickel_battery,30.97933634,sanyo,japan
01.06.2007,europe,belgium,asia,south_korea,manufactured,lithium_battery,55.91762132,kokam_co,south_korea
01.06.2007,america,usa,asia,south_korea,manufactured,nickel_battery,41.2326981,kokam_co,south_korea
01.06.2007,america,usa,europe,uk,manufactured,lithium_battery,12.05897802,glencore,uk
01.06.2007,america,usa,america,usa,manufactured,lithium_battery,64.18560568,taiyuan_mining_group,china
01.06.2007,europe,germany,europe,finland,mineral,nickel,1407.581567,german_mining_network,germany
01.06.2007,europe,france,europe,finland,mineral,nickel,2814.790199,finland_national_group,finland
01.06.2007,europe,spain,europe,finland,mineral,nickel,769.7025006,finland_national_group,finland
01.06.2007,europe,poland,europe,finland,mineral,nickel,781.8145649,poland_group,poland
01.06.2007,europe,italy,europe,finland,mineral,nickel,1008.734771,glencore,uk
01.06.2007,europe,finland,europe,finland,mineral,nickel,163.6123981,finland_national_group,finland
01.06.2007,europe,uk,europe,finland,mineral,nickel,8196.720927,glencore,uk
01.06.2007,europe,switzerland,europe,finland,mineral,nickel,5384.448257,swiss_group,switzerland
01.01.2008,europe,belgium,asia,china,mineral,cobalt,369.0721242,byd_group,china
01.01.2008,europe,belgium,africa,drc,mineral,nickel,2186.737743,areva,france
01.01.2008,europe,belgium,america,usa,mineral,silicon,123.5591779,newmont_goldcorp,usa
01.01.2008,europe,belgium,asia,russia,mineral,nickel,5.892278299,newmont_goldcorp,usa
01.01.2008,europe,belgium,america,chile,mineral,lithium,888.9863331,byd_group,china
01.01.2008,europe,italy,africa,drc,mineral,cobalt,103.8997952,areva,france
01.01.2008,europe,belgium,asia,china,manufactured,lithium_battery,130.0740632,byd_group,china
01.01.2008,europe,germany,asia,china,manufactured,lithium_battery,97.66500673,byd_group,china
01.01.2008,america,usa,asia,china,manufactured,lithium_battery,678.8626887,byd_group,china
01.01.2008,europe,france,america,chile,mineral,lithium,13520.7801,chile_nat_group,chile
01.01.2008,europe,poland,america,chile,mineral,lithium,244.1234908,chile_nat_group,chile
01.01.2008,asia,china,america,chile,mineral,lithium,1365.598542,chile_nat_group,chile
01.01.2008,europe,france,asia,china,mineral,nickel,3.925263917,byd_group,china
01.01.2008,europe,france,europe,france,manufactured,lithium_battery,1.402208328,french_mining_group,france
01.01.2008,europe,france,asia,russia,mineral,cobalt,5.398391265,french_mining_group,france
01.01.2008,europe,france,america,brasil,mineral,cobalt,380.4770142,french_mining_group,france
01.01.2008,europe,belgium,europe,germany,manufactured,lithium_battery,79.91630751,german_mining_network,germany
01.01.2008,europe,france,europe,germany,manufactured,lithium_battery,95.87143118,german_mining_network,germany
01.01.2008,europe,germany,africa,drc,mineral,cobalt,256.6706518,german_mining_network,germany
01.01.2008,america,usa,europe,germany,manufactured,nickel_battery,91.12108391,german_mining_network,germany
01.01.2008,europe,germany,africa,south_africa,mineral,manganese,471.3403731,glencore,uk
01.01.2008,europe,germany,asia,china,mineral,cobalt,17.55698498,byd_group,china
01.01.2008,europe,switzerland,africa,south_africa,mineral,manganese,199.2859113,glencore,uk
01.01.2008,europe,uk,africa,drc,mineral,nickel,2330.860341,glencore,uk
01.01.2008,europe,uk,africa,south_africa,mineral,manganese,66.32392585,glencore,uk
01.01.2008,europe,germany,america,chile,mineral,lithium,11225.66688,byd_group,china
01.01.2008,asia,china,africa,south_africa,mineral,manganese,135.9939276,glencore,uk
01.01.2008,europe,france,america,usa,mineral,silicon,191.2797731,newmont_goldcorp,usa
01.01.2008,europe,italy,asia,china,mineral,cobalt,12.69598541,taiyuan_mining_group,china
01.01.2008,europe,germany,america,usa,mineral,silicon,51.79466539,newmont_goldcorp,usa
01.01.2008,europe,germany,america,brasil,mineral,lithium,2025.440128,newmont_goldcorp,usa
01.01.2008,europe,poland,america,usa,mineral,silicon,238.1433985,newmont_goldcorp,usa
01.01.2008,europe,italy,america,chile,mineral,lithium,5957.739809,byd_group,china
01.01.2008,europe,spain,america,usa,mineral,cobalt,89.00359291,newmont_goldcorp,usa
01.01.2008,asia,china,america,usa,mineral,silicon,370.7642942,newmont_goldcorp,usa
01.01.2008,europe,poland,asia,china,mineral,graphite,629.4633994,byd_group,china
01.01.2008,europe,poland,africa,drc,mineral,cobalt,463.2731764,taiyuan_mining_group,china
01.01.2008,europe,belgium,europe,france,manufactured,lithium_battery,12.0792115,sibelco,belgium
01.01.2008,europe,belgium,america,brasil,mineral,cobalt,50.43371171,sibelco,belgium
01.01.2008,europe,belgium,africa,zimbabwe,mineral,lithium,15373.98583,south_africa_min_group,south_africa
01.01.2008,europe,france,africa,drc,mineral,graphite,283.2871978,south_africa_min_group,south_africa
01.01.2008,europe,france,africa,south_africa,mineral,manganese,63.78842881,south_africa_min_group,south_africa
01.01.2008,europe,spain,asia,china,mineral,graphite,11.5156408,byd_group,china
01.01.2008,europe,italy,africa,south_africa,mineral,silicon,71.68776219,south_africa_min_group,south_africa
01.01.2008,europe,italy,africa,south_africa,mineral,manganese,303.1774682,south_africa_min_group,south_africa
01.01.2008,europe,poland,africa,south_africa,mineral,manganese,630.9213729,south_africa_min_group,south_africa
01.01.2008,europe,spain,america,chile,mineral,lithium,3162.226776,byd_group,china
01.01.2008,europe,switzerland,africa,drc,mineral,graphite,423.3886805,swiss_group,switzerland
01.01.2008,europe,switzerland,america,usa,mineral,cobalt,175.5885018,swiss_group,switzerland
01.01.2008,europe,switzerland,asia,china,mineral,graphite,540.8064163,taiyuan_mining_group,china
01.01.2008,europe,switzerland,america,chile,mineral,lithium,315.4779315,swiss_group,switzerland
01.01.2008,europe,switzerland,america,brasil,mineral,silicon,48.93606181,swiss_group,switzerland
01.01.2008,europe,spain,africa,zimbabwe,mineral,lithium,176.1282397,zimbabwe_group,zimbabwe
01.01.2008,europe,germany,asia,russia,mineral,cobalt,96.8262592,russia_mining_network,russia
01.01.2008,europe,italy,asia,russia,mineral,cobalt,341.9045105,russia_mining_network,russia
01.01.2008,europe,italy,america,brasil,mineral,silicon,62.96447203,glencore,uk
01.01.2008,europe,uk,asia,china,mineral,graphite,84.97489828,byd_group,china
01.01.2008,europe,poland,asia,russia,mineral,cobalt,265.1337699,russia_mining_network,russia
01.01.2008,europe,poland,europe,poland,mineral,lithium,2349.007501,poland_group,poland
01.01.2008,europe,spain,africa,drc,mineral,cobalt,120.8775014,,
01.01.2008,europe,uk,america,chile,mineral,lithium,1659.21863,taiyuan_mining_group,china
01.01.2008,europe,spain,asia,russia,mineral,cobalt,500.7372111,russia_mining_network,russia
01.01.2008,europe,uk,asia,china,mineral,lithium,3070.471543,byd_group,china
01.01.2008,europe,spain,america,brasil,mineral,lithium,851.6333306,glencore,uk
01.01.2008,europe,switzerland,asia,russia,mineral,cobalt,328.4687464,glencore,uk
01.01.2008,europe,uk,america,usa,mineral,cobalt,140.842458,newmont_goldcorp,usa
01.01.2008,europe,uk,asia,russia,mineral,cobalt,85.07261706,russia_mining_network,russia
01.01.2008,asia,china,asia,china,mineral,lithium,1841.45738,taiyuan_mining_group,china
01.01.2008,asia,china,africa,drc,mineral,nickel,4108.883589,byd_group,china
01.01.2008,asia,china,africa,drc,mineral,graphite,1207.940374,taiyuan_mining_group,china
01.01.2008,asia,china,america,argentina,mineral,lithium,12446.14009,newmont_goldcorp,usa
01.01.2008,asia,china,oceany,australia,mineral,lithium,619.0298644,byd_group,china
01.01.2008,asia,china,africa,drc,mineral,cobalt,162.2625502,,
01.01.2008,europe,belgium,asia,japan,manufactured,lithium_battery,50.52710006,sanyo,japan
01.01.2008,america,usa,asia,japan,manufactured,nickel_battery,9.979521088,sanyo,japan
01.01.2008,europe,belgium,asia,south_korea,manufactured,lithium_battery,27.87022191,kokam_co,south_korea
01.01.2008,america,usa,asia,south_korea,manufactured,nickel_battery,69.40555571,kokam_co,south_korea
01.01.2008,america,usa,europe,uk,manufactured,lithium_battery,8.526217388,glencore,uk
01.01.2008,america,usa,america,usa,manufactured,lithium_battery,10.53378412,taiyuan_mining_group,china
01.01.2008,europe,germany,europe,finland,mineral,nickel,1607.118403,german_mining_network,germany
01.01.2008,europe,france,europe,finland,mineral,nickel,3418.186136,finland_national_group,finland
01.01.2008,europe,spain,europe,finland,mineral,nickel,3085.572356,finland_national_group,finland
01.01.2008,europe,poland,europe,finland,mineral,nickel,9360.245454,poland_group,poland
01.01.2008,europe,italy,europe,finland,mineral,nickel,421.99205,glencore,uk
01.01.2008,europe,finland,europe,finland,mineral,nickel,1922.010304,finland_national_group,finland
01.01.2008,europe,uk,europe,finland,mineral,nickel,1120.198972,glencore,uk
01.01.2008,europe,switzerland,europe,finland,mineral,nickel,5284.955574,swiss_group,switzerland
01.06.2008,europe,belgium,asia,china,mineral,cobalt,25.40996161,byd_group,china
01.06.2008,europe,belgium,africa,drc,mineral,nickel,7435.554345,areva,france
01.06.2008,europe,belgium,america,usa,mineral,silicon,576.6887013,newmont_goldcorp,usa
01.06.2008,europe,belgium,asia,russia,mineral,nickel,32.53273944,newmont_goldcorp,usa
01.06.2008,europe,belgium,america,chile,mineral,lithium,4515.869525,byd_group,china
01.06.2008,europe,italy,africa,drc,mineral,cobalt,107.0067749,areva,france
01.06.2008,europe,belgium,asia,china,manufactured,lithium_battery,92.285407,byd_group,china
01.06.2008,europe,germany,asia,china,manufactured,lithium_battery,24.11599821,byd_group,china
01.06.2008,america,usa,asia,china,manufactured,lithium_battery,1.285534874,byd_group,china
01.06.2008,europe,france,america,chile,mineral,lithium,48.06199651,chile_nat_group,chile
01.06.2008,europe,poland,america,chile,mineral,lithium,8112.137426,chile_nat_group,chile
01.06.2008,asia,china,america,chile,mineral,lithium,2759.856394,chile_nat_group,chile
01.06.2008,europe,france,asia,china,mineral,nickel,478.5947957,byd_group,china
01.06.2008,europe,france,europe,france,manufactured,lithium_battery,7.218172235,french_mining_group,france
01.06.2008,europe,france,asia,russia,mineral,cobalt,175.0044161,french_mining_group,france
01.06.2008,europe,france,america,brasil,mineral,cobalt,325.6631062,french_mining_group,france
01.06.2008,europe,belgium,europe,germany,manufactured,lithium_battery,155.8767202,german_mining_network,germany
01.06.2008,europe,france,europe,germany,manufactured,lithium_battery,395.3782297,german_mining_network,germany
01.06.2008,europe,germany,africa,drc,mineral,cobalt,233.2586788,german_mining_network,germany
01.06.2008,america,usa,europe,germany,manufactured,nickel_battery,72.98318272,german_mining_network,germany
01.06.2008,europe,germany,africa,south_africa,mineral,manganese,467.7878484,glencore,uk
01.06.2008,europe,germany,asia,china,mineral,cobalt,54.07829429,byd_group,china
01.06.2008,europe,switzerland,africa,south_africa,mineral,manganese,574.9696554,glencore,uk
01.06.2008,europe,uk,africa,drc,mineral,nickel,4070.590042,glencore,uk
01.06.2008,europe,uk,africa,south_africa,mineral,manganese,484.3135964,glencore,uk
01.06.2008,europe,germany,america,chile,mineral,lithium,2898.254822,byd_group,china
01.06.2008,asia,china,africa,south_africa,mineral,manganese,242.0557937,glencore,uk
01.06.2008,europe,france,america,usa,mineral,silicon,330.894175,newmont_goldcorp,usa
01.06.2008,europe,italy,asia,china,mineral,cobalt,11.00095833,taiyuan_mining_group,china
01.06.2008,europe,germany,america,usa,mineral,silicon,52.76678109,newmont_goldcorp,usa
01.06.2008,europe,germany,america,brasil,mineral,lithium,9.800588086,newmont_goldcorp,usa
01.06.2008,europe,poland,america,usa,mineral,silicon,113.7741414,newmont_goldcorp,usa
01.06.2008,europe,italy,america,chile,mineral,lithium,4281.101745,byd_group,china
01.06.2008,europe,spain,america,usa,mineral,cobalt,170.6270663,newmont_goldcorp,usa
01.06.2008,asia,china,america,usa,mineral,silicon,113.1405393,newmont_goldcorp,usa
01.06.2008,europe,poland,asia,china,mineral,graphite,919.4469205,byd_group,china
01.06.2008,europe,poland,africa,drc,mineral,cobalt,96.60978956,taiyuan_mining_group,china
01.06.2008,europe,belgium,europe,france,manufactured,lithium_battery,34.42852113,sibelco,belgium
01.06.2008,europe,belgium,america,brasil,mineral,cobalt,82.91741069,sibelco,belgium
01.06.2008,europe,belgium,africa,zimbabwe,mineral,lithium,6263.240372,south_africa_min_group,south_africa
01.06.2008,europe,france,africa,drc,mineral,graphite,1903.751206,south_africa_min_group,south_africa
01.06.2008,europe,france,africa,south_africa,mineral,manganese,70.90581269,south_africa_min_group,south_africa
01.06.2008,europe,spain,asia,china,mineral,graphite,75.47684931,byd_group,china
01.06.2008,europe,italy,africa,south_africa,mineral,silicon,1.670285786,south_africa_min_group,south_africa
01.06.2008,europe,italy,africa,south_africa,mineral,manganese,26.84484503,south_africa_min_group,south_africa
01.06.2008,europe,poland,africa,south_africa,mineral,manganese,346.0306785,south_africa_min_group,south_africa
01.06.2008,europe,spain,america,chile,mineral,lithium,2217.461137,byd_group,china
01.06.2008,europe,switzerland,africa,drc,mineral,graphite,323.333288,swiss_group,switzerland
01.06.2008,europe,switzerland,america,usa,mineral,cobalt,269.1144976,swiss_group,switzerland
01.06.2008,europe,switzerland,asia,china,mineral,graphite,606.1531097,taiyuan_mining_group,china
01.06.2008,europe,switzerland,america,chile,mineral,lithium,1619.378159,swiss_group,switzerland
01.06.2008,europe,switzerland,america,brasil,mineral,silicon,75.86006393,swiss_group,switzerland
01.06.2008,europe,spain,africa,zimbabwe,mineral,lithium,250.8402666,zimbabwe_group,zimbabwe
01.06.2008,europe,germany,asia,russia,mineral,cobalt,463.1020143,russia_mining_network,russia
01.06.2008,europe,italy,asia,russia,mineral,cobalt,273.2891664,russia_mining_network,russia
01.06.2008,europe,italy,america,brasil,mineral,silicon,9.889415403,glencore,uk
01.06.2008,europe,uk,asia,china,mineral,graphite,128.131392,byd_group,china
01.06.2008,europe,poland,asia,russia,mineral,cobalt,444.9478689,russia_mining_network,russia
